split,cell_id,group,pathway,feature,spearman
consumed,69#7,MC_ON,BC,U,0.026193489739639756
consumed,69#7,MC_ON,AC,S,0.17750335568032335
consumed,69#7,MC_ON,AC,U,0.07487314005842163
consumed,69#21,PC_OFF,BC,S,0.12217649503243011
consumed,69#21,PC_OFF,BC,U,0.08176689622672054
consumed,69#21,PC_OFF,AC,S,-0.09068897927442017
consumed,69#21,PC_OFF,AC,U,-0.016756837077978814
consumed,70#1,PC_ON,BC,S,-0.16818498178052746
consumed,70#1,PC_ON,BC,U,0.020987662183702637
consumed,70#1,PC_ON,AC,S,0.15925274225291114
consumed,70#1,PC_ON,AC,U,0.03351056219379595
consumed,70#7,PC_ON,BC,S,-0.11047841976922201
consumed,70#7,PC_ON,BC,U,0.07994364687331525
consumed,70#7,PC_ON,AC,S,0.10244711200292138
consumed,70#7,PC_ON,AC,U,0.039674660634224854
consumed,70#15,PC_ON,BC,S,-0.17134551861442252
consumed,70#15,PC_ON,BC,U,0.020828533111332703
consumed,70#15,PC_ON,AC,S,0.08851792311912808
consumed,70#15,PC_ON,AC,U,0.062120043748277266
consumed,70#34,MC_ON,BC,S,-0.15863309094922556
consumed,70#34,MC_ON,BC,U,0.031686372841204964
consumed,70#34,MC_ON,AC,S,0.14681969970986347
consumed,70#34,MC_ON,AC,U,0.09538475898215265
