split,comparator,estimate,group,cells,mean,median
development,LN,raw,MC_ON,5,0.02035747492442728,0.011731560537469578
development,LN,raw,MC_OFF,4,-0.010683552842770033,-0.0027020561071947127
development,LN,raw,PC_ON,9,0.01437688532046792,0.013889456516423164
development,LN,raw,PC_OFF,4,-0.0014272718662750432,0.003670686342634829
development,LN,matched,MC_ON,5,0.04368062358074555,0.026999130743272006
development,LN,matched,MC_OFF,4,-0.0044711428113441845,-0.006044479510785135
development,LN,matched,PC_ON,9,0.02728543301134622,0.022814539404142277
development,LN,matched,PC_OFF,4,-0.019918591547704836,-0.012752463376710264
development,CNN,raw,MC_ON,5,-0.042758800938204486,-0.046585237494813914
development,CNN,raw,MC_OFF,4,-0.03453522413605193,-0.028285566515287436
development,CNN,raw,PC_ON,9,-0.008337823755483455,-0.01032927262869723
development,CNN,raw,PC_OFF,4,-0.003368244940635888,-0.002596057915059768
development,CNN,matched,MC_ON,5,0.06014368936796065,0.08190489904199237
development,CNN,matched,MC_OFF,4,0.0042389244643640175,0.017776060319061898
development,CNN,matched,PC_ON,9,0.011344765682818607,0.00237524688467957
development,CNN,matched,PC_OFF,4,-0.0138325746102324,-0.028287002209007747
consumed,LN,raw,MC_ON,5,0.005577999827949752,0.014323582246239946
consumed,LN,raw,MC_OFF,4,0.00511295646902656,0.005402935037395307
consumed,LN,raw,PC_ON,9,-0.002043622785054821,-0.003414678585975034
consumed,LN,raw,PC_OFF,4,0.010300081588855762,0.009195629722285553
consumed,LN,matched,MC_ON,5,0.007468796498723451,0.005854486285773215
consumed,LN,matched,MC_OFF,4,-0.0024099399861425303,-0.000935884005644008
consumed,LN,matched,PC_ON,9,0.0003697194175129353,0.00032358647804654164
consumed,LN,matched,PC_OFF,4,0.011869784497425083,0.010552762966276198
consumed,CNN,raw,MC_ON,5,-0.050720841282042774,-0.03587879515667931
consumed,CNN,raw,MC_OFF,4,-0.021501131245349157,-0.015146976933815426
consumed,CNN,raw,PC_ON,9,-0.021819386891056596,-0.022482328579618998
consumed,CNN,raw,PC_OFF,4,0.005711198889287911,0.00365473096073112
consumed,CNN,matched,MC_ON,5,-0.029802822900607456,-0.046708203729448096
consumed,CNN,matched,MC_OFF,4,0.010213293259492169,0.007532777619298213
consumed,CNN,matched,PC_ON,9,-0.0030711829076266284,-0.005080674620436194
consumed,CNN,matched,PC_OFF,4,0.0174054509057569,0.011782328422153605
